"","histone","state","peak_count","total_peak","total_ch","peak"
"1","H3K27ac-human_GM12878_ENCFF001SUG","1_Pro_iHMM_GM12878",43849,56069,46202532,"H3K27ac"
"2","H3K27ac-human_GM12878_ENCFF001SUG","10_Rep1_iHMM_GM12878",1134,56069,23265451,"H3K27ac"
"3","H3K27ac-human_GM12878_ENCFF001SUG","11_Rep2_iHMM_GM12878",2125,56069,357828059,"H3K27ac"
"4","H3K27ac-human_GM12878_ENCFF001SUG","12_Het1_iHMM_GM12878",3582,56069,60241709,"H3K27ac"
"5","H3K27ac-human_GM12878_ENCFF001SUG","13_Het2_iHMM_GM12878",2310,56069,185278244,"H3K27ac"
"6","H3K27ac-human_GM12878_ENCFF001SUG","14_Low1_iHMM_GM12878",750,56069,354762932,"H3K27ac"
"7","H3K27ac-human_GM12878_ENCFF001SUG","15_Low2_iHMM_GM12878",4371,56069,570455209,"H3K27ac"
"8","H3K27ac-human_GM12878_ENCFF001SUG","16_Low3_iHMM_GM12878",975,56069,48345445,"H3K27ac"
"9","H3K27ac-human_GM12878_ENCFF001SUG","17_Unmap_iHMM_GM12878",92405,56069,727072978,"H3K27ac"
"10","H3K27ac-human_GM12878_ENCFF001SUG","2_Enh1_iHMM_GM12878",61609,56069,69442161,"H3K27ac"
"11","H3K27ac-human_GM12878_ENCFF001SUG","3_Enh2_iHMM_GM12878",18536,56069,94941407,"H3K27ac"
"12","H3K27ac-human_GM12878_ENCFF001SUG","4_Egn1_iHMM_GM12878",37357,56069,55600976,"H3K27ac"
"13","H3K27ac-human_GM12878_ENCFF001SUG","5_Egn2_iHMM_GM12878",12882,56069,40028756,"H3K27ac"
"14","H3K27ac-human_GM12878_ENCFF001SUG","6_Egn3_iHMM_GM12878",1173,56069,180155677,"H3K27ac"
"15","H3K27ac-human_GM12878_ENCFF001SUG","7_Egn4_iHMM_GM12878",10767,56069,97075950,"H3K27ac"
"16","H3K27ac-human_GM12878_ENCFF001SUG","8_Egn5_iHMM_GM12878",917,56069,30156712,"H3K27ac"
"17","H3K27ac-human_GM12878_ENCFF001SUG","9_Egn6_iHMM_GM12878",6894,56069,150264385,"H3K27ac"
"18","H3K27me3-human_GM12878_ENCFF001SUI","1_Pro_iHMM_GM12878",7363,41464,46202532,"H3K27me3"
"19","H3K27me3-human_GM12878_ENCFF001SUI","10_Rep1_iHMM_GM12878",27640,41464,23265451,"H3K27me3"
"20","H3K27me3-human_GM12878_ENCFF001SUI","11_Rep2_iHMM_GM12878",221220,41464,357828059,"H3K27me3"
"21","H3K27me3-human_GM12878_ENCFF001SUI","12_Het1_iHMM_GM12878",21962,41464,60241709,"H3K27me3"
"22","H3K27me3-human_GM12878_ENCFF001SUI","13_Het2_iHMM_GM12878",33850,41464,185278244,"H3K27me3"
"23","H3K27me3-human_GM12878_ENCFF001SUI","14_Low1_iHMM_GM12878",257752,41464,354762932,"H3K27me3"
"24","H3K27me3-human_GM12878_ENCFF001SUI","15_Low2_iHMM_GM12878",77051,41464,570455209,"H3K27me3"
"25","H3K27me3-human_GM12878_ENCFF001SUI","16_Low3_iHMM_GM12878",12635,41464,48345445,"H3K27me3"
"26","H3K27me3-human_GM12878_ENCFF001SUI","17_Unmap_iHMM_GM12878",575269,41464,727072978,"H3K27me3"
"27","H3K27me3-human_GM12878_ENCFF001SUI","2_Enh1_iHMM_GM12878",26560,41464,69442161,"H3K27me3"
"28","H3K27me3-human_GM12878_ENCFF001SUI","3_Enh2_iHMM_GM12878",44435,41464,94941407,"H3K27me3"
"29","H3K27me3-human_GM12878_ENCFF001SUI","4_Egn1_iHMM_GM12878",5971,41464,55600976,"H3K27me3"
"30","H3K27me3-human_GM12878_ENCFF001SUI","5_Egn2_iHMM_GM12878",5307,41464,40028756,"H3K27me3"
"31","H3K27me3-human_GM12878_ENCFF001SUI","6_Egn3_iHMM_GM12878",107840,41464,180155677,"H3K27me3"
"32","H3K27me3-human_GM12878_ENCFF001SUI","7_Egn4_iHMM_GM12878",8918,41464,97075950,"H3K27me3"
"33","H3K27me3-human_GM12878_ENCFF001SUI","8_Egn5_iHMM_GM12878",5287,41464,30156712,"H3K27me3"
"34","H3K27me3-human_GM12878_ENCFF001SUI","9_Egn6_iHMM_GM12878",15332,41464,150264385,"H3K27me3"
"35","H3K36me3-human_GM12878_ENCFF001SUJ","1_Pro_iHMM_GM12878",27822,33710,46202532,"H3K36me3"
"36","H3K36me3-human_GM12878_ENCFF001SUJ","10_Rep1_iHMM_GM12878",1627,33710,23265451,"H3K36me3"
"37","H3K36me3-human_GM12878_ENCFF001SUJ","11_Rep2_iHMM_GM12878",10596,33710,357828059,"H3K36me3"
"38","H3K36me3-human_GM12878_ENCFF001SUJ","12_Het1_iHMM_GM12878",23465,33710,60241709,"H3K36me3"
"39","H3K36me3-human_GM12878_ENCFF001SUJ","13_Het2_iHMM_GM12878",14456,33710,185278244,"H3K36me3"
"40","H3K36me3-human_GM12878_ENCFF001SUJ","14_Low1_iHMM_GM12878",10058,33710,354762932,"H3K36me3"
"41","H3K36me3-human_GM12878_ENCFF001SUJ","15_Low2_iHMM_GM12878",35178,33710,570455209,"H3K36me3"
"42","H3K36me3-human_GM12878_ENCFF001SUJ","16_Low3_iHMM_GM12878",5668,33710,48345445,"H3K36me3"
"43","H3K36me3-human_GM12878_ENCFF001SUJ","17_Unmap_iHMM_GM12878",390814,33710,727072978,"H3K36me3"
"44","H3K36me3-human_GM12878_ENCFF001SUJ","2_Enh1_iHMM_GM12878",35555,33710,69442161,"H3K36me3"
"45","H3K36me3-human_GM12878_ENCFF001SUJ","3_Enh2_iHMM_GM12878",23574,33710,94941407,"H3K36me3"
"46","H3K36me3-human_GM12878_ENCFF001SUJ","4_Egn1_iHMM_GM12878",63248,33710,55600976,"H3K36me3"
"47","H3K36me3-human_GM12878_ENCFF001SUJ","5_Egn2_iHMM_GM12878",51650,33710,40028756,"H3K36me3"
"48","H3K36me3-human_GM12878_ENCFF001SUJ","6_Egn3_iHMM_GM12878",7416,33710,180155677,"H3K36me3"
"49","H3K36me3-human_GM12878_ENCFF001SUJ","7_Egn4_iHMM_GM12878",110488,33710,97075950,"H3K36me3"
"50","H3K36me3-human_GM12878_ENCFF001SUJ","8_Egn5_iHMM_GM12878",20128,33710,30156712,"H3K36me3"
"51","H3K36me3-human_GM12878_ENCFF001SUJ","9_Egn6_iHMM_GM12878",182106,33710,150264385,"H3K36me3"
"52","H3K36me3-human_GM12878_ENCFF001WYF","1_Pro_iHMM_GM12878",11302,324901,46202532,"H3K36me3"
"53","H3K36me3-human_GM12878_ENCFF001WYF","10_Rep1_iHMM_GM12878",3089,324901,23265451,"H3K36me3"
"54","H3K36me3-human_GM12878_ENCFF001WYF","11_Rep2_iHMM_GM12878",16716,324901,357828059,"H3K36me3"
"55","H3K36me3-human_GM12878_ENCFF001WYF","12_Het1_iHMM_GM12878",16988,324901,60241709,"H3K36me3"
"56","H3K36me3-human_GM12878_ENCFF001WYF","13_Het2_iHMM_GM12878",7540,324901,185278244,"H3K36me3"
"57","H3K36me3-human_GM12878_ENCFF001WYF","14_Low1_iHMM_GM12878",7706,324901,354762932,"H3K36me3"
"58","H3K36me3-human_GM12878_ENCFF001WYF","15_Low2_iHMM_GM12878",13737,324901,570455209,"H3K36me3"
"59","H3K36me3-human_GM12878_ENCFF001WYF","16_Low3_iHMM_GM12878",622,324901,48345445,"H3K36me3"
"60","H3K36me3-human_GM12878_ENCFF001WYF","17_Unmap_iHMM_GM12878",58555,324901,727072978,"H3K36me3"
"61","H3K36me3-human_GM12878_ENCFF001WYF","2_Enh1_iHMM_GM12878",18160,324901,69442161,"H3K36me3"
"62","H3K36me3-human_GM12878_ENCFF001WYF","3_Enh2_iHMM_GM12878",10871,324901,94941407,"H3K36me3"
"63","H3K36me3-human_GM12878_ENCFF001WYF","4_Egn1_iHMM_GM12878",40557,324901,55600976,"H3K36me3"
"64","H3K36me3-human_GM12878_ENCFF001WYF","5_Egn2_iHMM_GM12878",17386,324901,40028756,"H3K36me3"
"65","H3K36me3-human_GM12878_ENCFF001WYF","6_Egn3_iHMM_GM12878",17614,324901,180155677,"H3K36me3"
"66","H3K36me3-human_GM12878_ENCFF001WYF","7_Egn4_iHMM_GM12878",91192,324901,97075950,"H3K36me3"
"67","H3K36me3-human_GM12878_ENCFF001WYF","8_Egn5_iHMM_GM12878",14148,324901,30156712,"H3K36me3"
"68","H3K36me3-human_GM12878_ENCFF001WYF","9_Egn6_iHMM_GM12878",85673,324901,150264385,"H3K36me3"
"69","H3K36me3-human_GM12878_ENCFF001WYH","1_Pro_iHMM_GM12878",11251,338813,46202532,"H3K36me3"
"70","H3K36me3-human_GM12878_ENCFF001WYH","10_Rep1_iHMM_GM12878",3756,338813,23265451,"H3K36me3"
"71","H3K36me3-human_GM12878_ENCFF001WYH","11_Rep2_iHMM_GM12878",19811,338813,357828059,"H3K36me3"
"72","H3K36me3-human_GM12878_ENCFF001WYH","12_Het1_iHMM_GM12878",17348,338813,60241709,"H3K36me3"
"73","H3K36me3-human_GM12878_ENCFF001WYH","13_Het2_iHMM_GM12878",9035,338813,185278244,"H3K36me3"
"74","H3K36me3-human_GM12878_ENCFF001WYH","14_Low1_iHMM_GM12878",9574,338813,354762932,"H3K36me3"
"75","H3K36me3-human_GM12878_ENCFF001WYH","15_Low2_iHMM_GM12878",15396,338813,570455209,"H3K36me3"
"76","H3K36me3-human_GM12878_ENCFF001WYH","16_Low3_iHMM_GM12878",669,338813,48345445,"H3K36me3"
"77","H3K36me3-human_GM12878_ENCFF001WYH","17_Unmap_iHMM_GM12878",59095,338813,727072978,"H3K36me3"
"78","H3K36me3-human_GM12878_ENCFF001WYH","2_Enh1_iHMM_GM12878",18407,338813,69442161,"H3K36me3"
"79","H3K36me3-human_GM12878_ENCFF001WYH","3_Enh2_iHMM_GM12878",11618,338813,94941407,"H3K36me3"
"80","H3K36me3-human_GM12878_ENCFF001WYH","4_Egn1_iHMM_GM12878",39957,338813,55600976,"H3K36me3"
"81","H3K36me3-human_GM12878_ENCFF001WYH","5_Egn2_iHMM_GM12878",17193,338813,40028756,"H3K36me3"
"82","H3K36me3-human_GM12878_ENCFF001WYH","6_Egn3_iHMM_GM12878",21695,338813,180155677,"H3K36me3"
"83","H3K36me3-human_GM12878_ENCFF001WYH","7_Egn4_iHMM_GM12878",90814,338813,97075950,"H3K36me3"
"84","H3K36me3-human_GM12878_ENCFF001WYH","8_Egn5_iHMM_GM12878",14047,338813,30156712,"H3K36me3"
"85","H3K36me3-human_GM12878_ENCFF001WYH","9_Egn6_iHMM_GM12878",84413,338813,150264385,"H3K36me3"
"86","H3K4me1-human_GM12878_ENCFF001SUE","1_Pro_iHMM_GM12878",45953,134589,46202532,"H3K4me1"
"87","H3K4me1-human_GM12878_ENCFF001SUE","10_Rep1_iHMM_GM12878",15951,134589,23265451,"H3K4me1"
"88","H3K4me1-human_GM12878_ENCFF001SUE","11_Rep2_iHMM_GM12878",17735,134589,357828059,"H3K4me1"
"89","H3K4me1-human_GM12878_ENCFF001SUE","12_Het1_iHMM_GM12878",13168,134589,60241709,"H3K4me1"
"90","H3K4me1-human_GM12878_ENCFF001SUE","13_Het2_iHMM_GM12878",8924,134589,185278244,"H3K4me1"
"91","H3K4me1-human_GM12878_ENCFF001SUE","14_Low1_iHMM_GM12878",5440,134589,354762932,"H3K4me1"
"92","H3K4me1-human_GM12878_ENCFF001SUE","15_Low2_iHMM_GM12878",23934,134589,570455209,"H3K4me1"
"93","H3K4me1-human_GM12878_ENCFF001SUE","16_Low3_iHMM_GM12878",3153,134589,48345445,"H3K4me1"
"94","H3K4me1-human_GM12878_ENCFF001SUE","17_Unmap_iHMM_GM12878",205526,134589,727072978,"H3K4me1"
"95","H3K4me1-human_GM12878_ENCFF001SUE","2_Enh1_iHMM_GM12878",98550,134589,69442161,"H3K4me1"
"96","H3K4me1-human_GM12878_ENCFF001SUE","3_Enh2_iHMM_GM12878",93472,134589,94941407,"H3K4me1"
"97","H3K4me1-human_GM12878_ENCFF001SUE","4_Egn1_iHMM_GM12878",62815,134589,55600976,"H3K4me1"
"98","H3K4me1-human_GM12878_ENCFF001SUE","5_Egn2_iHMM_GM12878",36509,134589,40028756,"H3K4me1"
"99","H3K4me1-human_GM12878_ENCFF001SUE","6_Egn3_iHMM_GM12878",12945,134589,180155677,"H3K4me1"
"100","H3K4me1-human_GM12878_ENCFF001SUE","7_Egn4_iHMM_GM12878",31605,134589,97075950,"H3K4me1"
"101","H3K4me1-human_GM12878_ENCFF001SUE","8_Egn5_iHMM_GM12878",4843,134589,30156712,"H3K4me1"
"102","H3K4me1-human_GM12878_ENCFF001SUE","9_Egn6_iHMM_GM12878",23123,134589,150264385,"H3K4me1"
"103","H3K4me2-human_GM12878_ENCFF001SUL","1_Pro_iHMM_GM12878",48280,79675,46202532,"H3K4me2"
"104","H3K4me2-human_GM12878_ENCFF001SUL","10_Rep1_iHMM_GM12878",10587,79675,23265451,"H3K4me2"
"105","H3K4me2-human_GM12878_ENCFF001SUL","11_Rep2_iHMM_GM12878",5511,79675,357828059,"H3K4me2"
"106","H3K4me2-human_GM12878_ENCFF001SUL","12_Het1_iHMM_GM12878",3970,79675,60241709,"H3K4me2"
"107","H3K4me2-human_GM12878_ENCFF001SUL","13_Het2_iHMM_GM12878",2829,79675,185278244,"H3K4me2"
"108","H3K4me2-human_GM12878_ENCFF001SUL","14_Low1_iHMM_GM12878",1745,79675,354762932,"H3K4me2"
"109","H3K4me2-human_GM12878_ENCFF001SUL","15_Low2_iHMM_GM12878",7609,79675,570455209,"H3K4me2"
"110","H3K4me2-human_GM12878_ENCFF001SUL","16_Low3_iHMM_GM12878",1312,79675,48345445,"H3K4me2"
"111","H3K4me2-human_GM12878_ENCFF001SUL","17_Unmap_iHMM_GM12878",116574,79675,727072978,"H3K4me2"
"112","H3K4me2-human_GM12878_ENCFF001SUL","2_Enh1_iHMM_GM12878",77984,79675,69442161,"H3K4me2"
"113","H3K4me2-human_GM12878_ENCFF001SUL","3_Enh2_iHMM_GM12878",33829,79675,94941407,"H3K4me2"
"114","H3K4me2-human_GM12878_ENCFF001SUL","4_Egn1_iHMM_GM12878",49554,79675,55600976,"H3K4me2"
"115","H3K4me2-human_GM12878_ENCFF001SUL","5_Egn2_iHMM_GM12878",18343,79675,40028756,"H3K4me2"
"116","H3K4me2-human_GM12878_ENCFF001SUL","6_Egn3_iHMM_GM12878",3647,79675,180155677,"H3K4me2"
"117","H3K4me2-human_GM12878_ENCFF001SUL","7_Egn4_iHMM_GM12878",9672,79675,97075950,"H3K4me2"
"118","H3K4me2-human_GM12878_ENCFF001SUL","8_Egn5_iHMM_GM12878",1068,79675,30156712,"H3K4me2"
"119","H3K4me2-human_GM12878_ENCFF001SUL","9_Egn6_iHMM_GM12878",6468,79675,150264385,"H3K4me2"
"120","H3K4me3-human_GM12878_ENCFF001SUF","1_Pro_iHMM_GM12878",43059,73952,46202532,"H3K4me3"
"121","H3K4me3-human_GM12878_ENCFF001SUF","10_Rep1_iHMM_GM12878",10066,73952,23265451,"H3K4me3"
"122","H3K4me3-human_GM12878_ENCFF001SUF","11_Rep2_iHMM_GM12878",8490,73952,357828059,"H3K4me3"
"123","H3K4me3-human_GM12878_ENCFF001SUF","12_Het1_iHMM_GM12878",9120,73952,60241709,"H3K4me3"
"124","H3K4me3-human_GM12878_ENCFF001SUF","13_Het2_iHMM_GM12878",7249,73952,185278244,"H3K4me3"
"125","H3K4me3-human_GM12878_ENCFF001SUF","14_Low1_iHMM_GM12878",3095,73952,354762932,"H3K4me3"
"126","H3K4me3-human_GM12878_ENCFF001SUF","15_Low2_iHMM_GM12878",10555,73952,570455209,"H3K4me3"
"127","H3K4me3-human_GM12878_ENCFF001SUF","16_Low3_iHMM_GM12878",2012,73952,48345445,"H3K4me3"
"128","H3K4me3-human_GM12878_ENCFF001SUF","17_Unmap_iHMM_GM12878",134052,73952,727072978,"H3K4me3"
"129","H3K4me3-human_GM12878_ENCFF001SUF","2_Enh1_iHMM_GM12878",76308,73952,69442161,"H3K4me3"
"130","H3K4me3-human_GM12878_ENCFF001SUF","3_Enh2_iHMM_GM12878",36795,73952,94941407,"H3K4me3"
"131","H3K4me3-human_GM12878_ENCFF001SUF","4_Egn1_iHMM_GM12878",49748,73952,55600976,"H3K4me3"
"132","H3K4me3-human_GM12878_ENCFF001SUF","5_Egn2_iHMM_GM12878",21570,73952,40028756,"H3K4me3"
"133","H3K4me3-human_GM12878_ENCFF001SUF","6_Egn3_iHMM_GM12878",3809,73952,180155677,"H3K4me3"
"134","H3K4me3-human_GM12878_ENCFF001SUF","7_Egn4_iHMM_GM12878",13836,73952,97075950,"H3K4me3"
"135","H3K4me3-human_GM12878_ENCFF001SUF","8_Egn5_iHMM_GM12878",1790,73952,30156712,"H3K4me3"
"136","H3K4me3-human_GM12878_ENCFF001SUF","9_Egn6_iHMM_GM12878",9865,73952,150264385,"H3K4me3"
"137","H3K4me3-human_GM12878_ENCFF001SUM","1_Pro_iHMM_GM12878",45418,57476,46202532,"H3K4me3"
"138","H3K4me3-human_GM12878_ENCFF001SUM","10_Rep1_iHMM_GM12878",7491,57476,23265451,"H3K4me3"
"139","H3K4me3-human_GM12878_ENCFF001SUM","11_Rep2_iHMM_GM12878",5285,57476,357828059,"H3K4me3"
"140","H3K4me3-human_GM12878_ENCFF001SUM","12_Het1_iHMM_GM12878",5081,57476,60241709,"H3K4me3"
"141","H3K4me3-human_GM12878_ENCFF001SUM","13_Het2_iHMM_GM12878",5000,57476,185278244,"H3K4me3"
"142","H3K4me3-human_GM12878_ENCFF001SUM","14_Low1_iHMM_GM12878",1828,57476,354762932,"H3K4me3"
"143","H3K4me3-human_GM12878_ENCFF001SUM","15_Low2_iHMM_GM12878",7597,57476,570455209,"H3K4me3"
"144","H3K4me3-human_GM12878_ENCFF001SUM","16_Low3_iHMM_GM12878",1419,57476,48345445,"H3K4me3"
"145","H3K4me3-human_GM12878_ENCFF001SUM","17_Unmap_iHMM_GM12878",99714,57476,727072978,"H3K4me3"
"146","H3K4me3-human_GM12878_ENCFF001SUM","2_Enh1_iHMM_GM12878",58005,57476,69442161,"H3K4me3"
"147","H3K4me3-human_GM12878_ENCFF001SUM","3_Enh2_iHMM_GM12878",22135,57476,94941407,"H3K4me3"
"148","H3K4me3-human_GM12878_ENCFF001SUM","4_Egn1_iHMM_GM12878",39842,57476,55600976,"H3K4me3"
"149","H3K4me3-human_GM12878_ENCFF001SUM","5_Egn2_iHMM_GM12878",13652,57476,40028756,"H3K4me3"
"150","H3K4me3-human_GM12878_ENCFF001SUM","6_Egn3_iHMM_GM12878",2627,57476,180155677,"H3K4me3"
"151","H3K4me3-human_GM12878_ENCFF001SUM","7_Egn4_iHMM_GM12878",7602,57476,97075950,"H3K4me3"
"152","H3K4me3-human_GM12878_ENCFF001SUM","8_Egn5_iHMM_GM12878",1223,57476,30156712,"H3K4me3"
"153","H3K4me3-human_GM12878_ENCFF001SUM","9_Egn6_iHMM_GM12878",5182,57476,150264385,"H3K4me3"
"154","H3K79me2-human_GM12878_ENCFF001SUN","1_Pro_iHMM_GM12878",36469,28302,46202532,"H3K79me2"
"155","H3K79me2-human_GM12878_ENCFF001SUN","10_Rep1_iHMM_GM12878",784,28302,23265451,"H3K79me2"
"156","H3K79me2-human_GM12878_ENCFF001SUN","11_Rep2_iHMM_GM12878",2372,28302,357828059,"H3K79me2"
"157","H3K79me2-human_GM12878_ENCFF001SUN","12_Het1_iHMM_GM12878",8923,28302,60241709,"H3K79me2"
"158","H3K79me2-human_GM12878_ENCFF001SUN","13_Het2_iHMM_GM12878",3336,28302,185278244,"H3K79me2"
"159","H3K79me2-human_GM12878_ENCFF001SUN","14_Low1_iHMM_GM12878",1731,28302,354762932,"H3K79me2"
"160","H3K79me2-human_GM12878_ENCFF001SUN","15_Low2_iHMM_GM12878",9743,28302,570455209,"H3K79me2"
"161","H3K79me2-human_GM12878_ENCFF001SUN","16_Low3_iHMM_GM12878",1460,28302,48345445,"H3K79me2"
"162","H3K79me2-human_GM12878_ENCFF001SUN","17_Unmap_iHMM_GM12878",182564,28302,727072978,"H3K79me2"
"163","H3K79me2-human_GM12878_ENCFF001SUN","2_Enh1_iHMM_GM12878",30785,28302,69442161,"H3K79me2"
"164","H3K79me2-human_GM12878_ENCFF001SUN","3_Enh2_iHMM_GM12878",13937,28302,94941407,"H3K79me2"
"165","H3K79me2-human_GM12878_ENCFF001SUN","4_Egn1_iHMM_GM12878",64870,28302,55600976,"H3K79me2"
"166","H3K79me2-human_GM12878_ENCFF001SUN","5_Egn2_iHMM_GM12878",57062,28302,40028756,"H3K79me2"
"167","H3K79me2-human_GM12878_ENCFF001SUN","6_Egn3_iHMM_GM12878",1899,28302,180155677,"H3K79me2"
"168","H3K79me2-human_GM12878_ENCFF001SUN","7_Egn4_iHMM_GM12878",47463,28302,97075950,"H3K79me2"
"169","H3K79me2-human_GM12878_ENCFF001SUN","8_Egn5_iHMM_GM12878",3207,28302,30156712,"H3K79me2"
"170","H3K79me2-human_GM12878_ENCFF001SUN","9_Egn6_iHMM_GM12878",38333,28302,150264385,"H3K79me2"
"171","H3K9ac-human_GM12878_ENCFF001SUO","1_Pro_iHMM_GM12878",44077,41266,46202532,"H3K9ac"
"172","H3K9ac-human_GM12878_ENCFF001SUO","10_Rep1_iHMM_GM12878",2794,41266,23265451,"H3K9ac"
"173","H3K9ac-human_GM12878_ENCFF001SUO","11_Rep2_iHMM_GM12878",2523,41266,357828059,"H3K9ac"
"174","H3K9ac-human_GM12878_ENCFF001SUO","12_Het1_iHMM_GM12878",1732,41266,60241709,"H3K9ac"
"175","H3K9ac-human_GM12878_ENCFF001SUO","13_Het2_iHMM_GM12878",2033,41266,185278244,"H3K9ac"
"176","H3K9ac-human_GM12878_ENCFF001SUO","14_Low1_iHMM_GM12878",1312,41266,354762932,"H3K9ac"
"177","H3K9ac-human_GM12878_ENCFF001SUO","15_Low2_iHMM_GM12878",4895,41266,570455209,"H3K9ac"
"178","H3K9ac-human_GM12878_ENCFF001SUO","16_Low3_iHMM_GM12878",1088,41266,48345445,"H3K9ac"
"179","H3K9ac-human_GM12878_ENCFF001SUO","17_Unmap_iHMM_GM12878",70187,41266,727072978,"H3K9ac"
"180","H3K9ac-human_GM12878_ENCFF001SUO","2_Enh1_iHMM_GM12878",43119,41266,69442161,"H3K9ac"
"181","H3K9ac-human_GM12878_ENCFF001SUO","3_Enh2_iHMM_GM12878",14185,41266,94941407,"H3K9ac"
"182","H3K9ac-human_GM12878_ENCFF001SUO","4_Egn1_iHMM_GM12878",26168,41266,55600976,"H3K9ac"
"183","H3K9ac-human_GM12878_ENCFF001SUO","5_Egn2_iHMM_GM12878",7720,41266,40028756,"H3K9ac"
"184","H3K9ac-human_GM12878_ENCFF001SUO","6_Egn3_iHMM_GM12878",1494,41266,180155677,"H3K9ac"
"185","H3K9ac-human_GM12878_ENCFF001SUO","7_Egn4_iHMM_GM12878",5241,41266,97075950,"H3K9ac"
"186","H3K9ac-human_GM12878_ENCFF001SUO","8_Egn5_iHMM_GM12878",1004,41266,30156712,"H3K9ac"
"187","H3K9ac-human_GM12878_ENCFF001SUO","9_Egn6_iHMM_GM12878",4308,41266,150264385,"H3K9ac"
"188","H3K9me3-human_GM12878_ENCFF001SUP","1_Pro_iHMM_GM12878",14862,74515,46202532,"H3K9me3"
"189","H3K9me3-human_GM12878_ENCFF001SUP","10_Rep1_iHMM_GM12878",7067,74515,23265451,"H3K9me3"
"190","H3K9me3-human_GM12878_ENCFF001SUP","11_Rep2_iHMM_GM12878",54779,74515,357828059,"H3K9me3"
"191","H3K9me3-human_GM12878_ENCFF001SUP","12_Het1_iHMM_GM12878",84784,74515,60241709,"H3K9me3"
"192","H3K9me3-human_GM12878_ENCFF001SUP","13_Het2_iHMM_GM12878",134371,74515,185278244,"H3K9me3"
"193","H3K9me3-human_GM12878_ENCFF001SUP","14_Low1_iHMM_GM12878",16220,74515,354762932,"H3K9me3"
"194","H3K9me3-human_GM12878_ENCFF001SUP","15_Low2_iHMM_GM12878",58602,74515,570455209,"H3K9me3"
"195","H3K9me3-human_GM12878_ENCFF001SUP","16_Low3_iHMM_GM12878",17387,74515,48345445,"H3K9me3"
"196","H3K9me3-human_GM12878_ENCFF001SUP","17_Unmap_iHMM_GM12878",355059,74515,727072978,"H3K9me3"
"197","H3K9me3-human_GM12878_ENCFF001SUP","2_Enh1_iHMM_GM12878",38798,74515,69442161,"H3K9me3"
"198","H3K9me3-human_GM12878_ENCFF001SUP","3_Enh2_iHMM_GM12878",38910,74515,94941407,"H3K9me3"
"199","H3K9me3-human_GM12878_ENCFF001SUP","4_Egn1_iHMM_GM12878",29167,74515,55600976,"H3K9me3"
"200","H3K9me3-human_GM12878_ENCFF001SUP","5_Egn2_iHMM_GM12878",24484,74515,40028756,"H3K9me3"
"201","H3K9me3-human_GM12878_ENCFF001SUP","6_Egn3_iHMM_GM12878",8251,74515,180155677,"H3K9me3"
"202","H3K9me3-human_GM12878_ENCFF001SUP","7_Egn4_iHMM_GM12878",19065,74515,97075950,"H3K9me3"
"203","H3K9me3-human_GM12878_ENCFF001SUP","8_Egn5_iHMM_GM12878",8360,74515,30156712,"H3K9me3"
"204","H3K9me3-human_GM12878_ENCFF001SUP","9_Egn6_iHMM_GM12878",22450,74515,150264385,"H3K9me3"
"205","H4K20me1-human_GM12878_ENCFF001SUQ","1_Pro_iHMM_GM12878",20015,23943,46202532,"H4K20me1"
"206","H4K20me1-human_GM12878_ENCFF001SUQ","10_Rep1_iHMM_GM12878",16910,23943,23265451,"H4K20me1"
"207","H4K20me1-human_GM12878_ENCFF001SUQ","11_Rep2_iHMM_GM12878",83241,23943,357828059,"H4K20me1"
"208","H4K20me1-human_GM12878_ENCFF001SUQ","12_Het1_iHMM_GM12878",13431,23943,60241709,"H4K20me1"
"209","H4K20me1-human_GM12878_ENCFF001SUQ","13_Het2_iHMM_GM12878",17318,23943,185278244,"H4K20me1"
"210","H4K20me1-human_GM12878_ENCFF001SUQ","14_Low1_iHMM_GM12878",96835,23943,354762932,"H4K20me1"
"211","H4K20me1-human_GM12878_ENCFF001SUQ","15_Low2_iHMM_GM12878",49824,23943,570455209,"H4K20me1"
"212","H4K20me1-human_GM12878_ENCFF001SUQ","16_Low3_iHMM_GM12878",7328,23943,48345445,"H4K20me1"
"213","H4K20me1-human_GM12878_ENCFF001SUQ","17_Unmap_iHMM_GM12878",413565,23943,727072978,"H4K20me1"
"214","H4K20me1-human_GM12878_ENCFF001SUQ","2_Enh1_iHMM_GM12878",28270,23943,69442161,"H4K20me1"
"215","H4K20me1-human_GM12878_ENCFF001SUQ","3_Enh2_iHMM_GM12878",32008,23943,94941407,"H4K20me1"
"216","H4K20me1-human_GM12878_ENCFF001SUQ","4_Egn1_iHMM_GM12878",48023,23943,55600976,"H4K20me1"
"217","H4K20me1-human_GM12878_ENCFF001SUQ","5_Egn2_iHMM_GM12878",37734,23943,40028756,"H4K20me1"
"218","H4K20me1-human_GM12878_ENCFF001SUQ","6_Egn3_iHMM_GM12878",75514,23943,180155677,"H4K20me1"
"219","H4K20me1-human_GM12878_ENCFF001SUQ","7_Egn4_iHMM_GM12878",53596,23943,97075950,"H4K20me1"
"220","H4K20me1-human_GM12878_ENCFF001SUQ","8_Egn5_iHMM_GM12878",10579,23943,30156712,"H4K20me1"
"221","H4K20me1-human_GM12878_ENCFF001SUQ","9_Egn6_iHMM_GM12878",63964,23943,150264385,"H4K20me1"
